A 刻,B 双,C 音乐,D 其他,E 声音,a1 yi3,1,おばさん（a1 yi2）
1,矮　の発音は？,ai1,ai2,ai3,ai4,3,短い（ai3)
1,爱好　の発音は？,ai4 hao2,ai4 hao3,ai1 hao4,ai4 hao4,4,趣味（ai4 hao4)
1,安静　の発音は？,an1 jing1,an1 jing4,an4 jing1,an1 jing2,2,静かな（an1 jing4)
1,把　の発音は？,ba1,ba2,ba3,ba4,3,を（ba3)
1,班　の発音は？,ban1,ban2,ban3,ban4,1,クラス（ban1)
1,搬　の発音は？,ban1,ban2,ban3,ban4,1,動く（ban1)
1,半　の発音は？,ban1,ban2,ban3,ban4,4,半分（ban4)
1,办法　の発音は？,ban1 fa3,ban4 fa3,ban4 fa1,ban1 fa1,2,方法（ban4 fa3)
1,办公室　の発音は？,ban4 gong1 shi4,ban4 gong1 shi2,ban1 gon1 shi4,ban1 gong1 shi4,1,オフィス（ban4 gong1 shi4)
1,帮忙　の発音は？,bang4 mang3,bang1 mang1,bang1 mang2,bang4 mang2,3,助ける（bang1 mang2)
1,包　の発音は？,bao1,bao2,bao3,bao4,1,包む（bao1)
1,饱　の発音は？,bao1,bao2,bao3,bao4,3,満腹（bao3)
1,北方　の発音は？,bei2 fang1,bei3 fang1,bei3 fang4,bei1 fang1,2,北（bei3 fang1)
1,被　の発音は？,bei1,bei2,bei3,bei4,4,によって（bei4)
1,比较　の発音は？,bi3 jiao4,bi2 jiao4,bi3 jiao1,bi1 jiao1,1,比較する（bi3 jiao4)
1,比赛　の発音は？,bi3 sai4,bi1 sai4,bi2 sai4,bi3 sai3,1,試合（bi3 sai4)
1,必须　の発音は？,bi4 xu2,bi4 xu4,bi4 xu1,bi4 xu3,3,しなければならない（bi4 xu1)
2,除了数学，弟弟的（ ）成绩都不错。,刻,双,音乐,其他,4,HSK3級過去問より
2,我特别想买这（ ）鞋，问题是我的脚太大。,刻,双,音乐,其他,2,HSK3級過去問より
2,这条裤子昨天洗过了，是（ ）的。,双,音乐,其他,干净,4,HSK3級過去問より
2,现在是三点一（ ），别担心，我们不会迟到。,刻,双,音乐,其他,1,HSK3級過去問より
2,姐姐从小就喜欢唱歌，现在她是一位（ ）老师。,刻,双,音乐,其他,3,HSK3級過去問より
2,"A：这个问题你们准备什么时候解决？
B：我们正在想（ ），今天应该可以解决。",角,被,爱好,办法,4,HSK3級過去問より
2,"A：怎么样，听（ ）了吗？
B：对不起，您读得太快，我没听懂。",明白,角,被,爱好,1,HSK3級過去問より
2,"A：盘子里的肉（ ）那只黄猫吃了。
B：那你该给它准备点儿水了。
",明白,角,被,爱好,3,HSK3級過去問より
2,"A：菜有点儿（ ），但很好吃。
B：我妈妈是上海人，她做菜喜欢放糖。
",被,爱好,办法,甜,4,HSK3級過去問より
2,"A：你好，香蕉怎么卖？
B：这种三块五一斤，那种便宜两（ ）五分。
",明白,角,被,爱好,2,HSK3級過去問より
2,"中国人经常说：早饭要吃好，午饭要吃饱，晚饭要吃少。
★ 根据这句话，可以知道：",早饭要少吃,午饭要多吃,不要吃晚饭,,2,HSK3級過去問より
2,"公司来了一位新同事，长得跟我有点儿像，而且我们都姓王，很多人总是
笑着问我：“新来的同事是不是你哥哥？”
★ 新来的同事：",是我哥,长得像我,长得像我弟弟,－,2,HSK3級過去問より
2,"北京的秋天比较短，但这是北京最好的季节。秋天的北京不冷也不热，下
雨的时候不多，这时候去北京旅游最好。北京的春天也很漂亮，只是有时
候会刮大风。
★ 北京的秋天：",很舒服,非常热,经常刮风,－,1,HSK3級過去問より
2,"张先生，您到饭店以后，先休息一下。中午我们一起吃午饭，下午 4 点以
前没有什么事，如果您愿意，我可以带您到附近看看。5 点，我们经理和您
见面，晚上经理请您吃晚饭。
★ 张先生 5 点做什么？",和经理见面,到外面去看看,和经理一起吃饭,－,1,HSK3級過去問より
2,"小李，洗手间在一楼东边，如果有客人要去，你带他们去。还有，注意洗
手间的灯不要关。
★ 根据这段话，可以知道：",小李是客人,小李表示同意,别关洗手间的灯,－,3,HSK3級過去問より
2,"一年级二班的考试已经结束了，我听大家说，虽然题很多，但不难，很简
单。
★ 这次考试：",很难,题很多,时间不长,－,2,HSK3級過去問より
2,"我对外面的世界很有兴趣，我希望有机会到别的国家看一看，了解它们不
同的文化。
★ 我希望：",学习普通话,有很多节日,去国外看看,－,3,HSK3級過去問より
2,"自行车？没问题，你别客气。就在楼下，就是那辆蓝色的。我这几天不骑，
你不用急着还。
★ 那辆自行车：",坏了,是蓝色的,是别人的,－,2,HSK3級過去問より
2,"两年不见，没想到他变化这么大，比以前瘦了很多，但和以前一样的是，
他还是那么热情、快乐、关心别人。
★ 他以前怎么样？",又矮又瘦,容易生气,热情、快乐,－,3,HSK3級過去問より
2,"下了飞机，坐出租车的时候，我把行李箱放在了车箱里。下车时，我忘了
拿行李箱，里面有很多重要的东西。但是，我有出租车票，我相信能找到
我的行李箱。
★ 我的行李箱现在最可能在：
",机场,飞机上,出租车上,－,3,HSK3級過去問より
3,"刷牙的时候，水太冷或者太热，都会给牙的健康带来不好的影响。研究发现，用 35 度的温水刷牙才是最合适的。
★ 刷牙时，我们应该：
",使用温水,常换牙刷,早晚各一次,至少刷 5 分钟,1,HSK4級サンプルより
3,"这种葡萄酒，不仅味道好，而且每个酒瓶也都像一件高级艺术品。很多人愿意出高价购买它，很多时候是被那些特别的酒瓶吸引了。
★ 这种葡萄酒：",比较甜,是艺术品,酒瓶很特别,是当地制造的,3,HSK4級サンプルより
3,"阅读能力好的人不但容易找到工作，而且工资也比较高。另外，阅读考试的分数往往还能反映一个国家的教育水平。
★ 阅读能力好的人一般：
",收入高,烦恼少,经历丰富,年龄比较大,1,HSK4級サンプルより
3,"有些人喜欢不停地换工作，他们总以为新工作一定比现在的好。实际上，一般情况下，完全适应一个新的工作需要一年时间，因此，经常换工作不一定好，根据自己的条件，把一份工作坚持做到最好才是正确的选择。
★ 有些人经常换工作是因为他们：
",极其努力,非常得意,工作不愉快,相信新工作更好,4,HSK4級サンプルより
3,"我喜欢读这份报纸，因为它的内容丰富，而且广告少，最重要的是，经济方面的新闻对我的工作很有帮助。
★ 他喜欢这份报纸的原因之一是：
",免费,价格低,广告少,笑话多,3,HSK4級サンプルより
3,"医生提醒人们，在使用感冒药之前，一定要仔细阅读说明书。并且最好只选择一种感冒药，否则药物之间可能互相作用，会影响我们的健康。
★ 医生一共有几个提醒？
",一个,两个,3 个,4 个,2,HSK4級サンプルより
3,"在中国生活的三年使他在音乐方面有了很多新的想法，他把京剧的一些特点增加到自己的音乐中，取得了很好的效果。
★ 根据这段话，可以知道他：
",很热情,会唱京剧,受到京剧影响,离开中国三年了,3,HSK4級サンプルより
3,"儿子小时候一说话就脸红，回答老师问题的时候声音也很小，我当时很替他担心。但随着年龄的增长，他逐渐成熟了，大学毕业后成了一名优秀的律师，真让人吃惊。
★ “让人吃惊”的是儿子：
",当了律师,变得很笨,越来越帅,赚了很多钱,1,HSK4級サンプルより
3,"做生意时会遇到竞争带来的压力，但是大家的机会也是相同的。清楚地了解市场和顾客的需要，做一个符合市场发展需要的计划非常重要。
★ 做生意需要重视：
",节约,反对意见,积累经验,了解市场需求,4,HSK4級サンプルより
3,"原谅是一种美，我们常说要学会原谅别人，但也要试着原谅自己。我们都有缺点，不可能把每件事都做得很好。
★ 这段话主要说，我们应该：
",感谢别人,尊重别人,原谅自己,成为优秀的人,3,HSK4級サンプルより
